end_date,name,raised,start_date,summary
10/31/17,EOS,"$36,390,881",10/01/17,EOS enables parallel processing of smart contracts and horizontal scalability allowing an estimated 100K transactions per second.
10/31/17,CryptoPay,"$17,980,000",09/25/17,"An all-in-one financial services platform that will allow users to save, trade, invest cryptocurrencies."
10/08/17,Red Pulse,"$14,500,000",10/01/17,An event-driven market intelligence platform covering China’s financial markets.
10/08/17,Power Ledger,"$26,500,000",09/08/17,An operating blockchain-based peer-to-peer energy trading platform enabling consumers and businesses to share excess solar power with their neighbors.
10/08/17,REAL,"$11,150,000",09/07/17,REAL is a real-estate crowdfunding platform using Ethereum smart contracts.
09/10/17,Rivetz,"$13,630,000",08/10/17,A mobile cyber security token.
09/10/17,Hubii Network,"$6,558,119",08/24/17,"An Ethereum-based content marketplace that facilitates transactions between creators, distributors and consumers with smart contracts."
09/10/17,Indorse,"$8,214,364",08/08/17,"A decentralized professional social network, which rewards users and gives them back ownership of their data."
07/31/17,InsureX,"$7,000,000",07/11/17,"InsureX is an alternative marketplace for insurance based on blockchain technology. It is aimed primarily at institutions such as insurers, reinsurers and brokers."
07/31/17,EOS,"$183,160,130",07/01/17,EOS enables parallel processing of smart contracts and horizontal scalability allowing an estimated 100K transactions per second.
07/31/17,Binance Coin,"$15,000,000",07/01/17,
06/21/17,Status,"$101,000,000",,A mobile messaging platform used to interact with decentralized apps that run on Ethereum.
06/21/17,Monaco,"$26,544,474",05/18/17,A Visa enabled cryptocurrency debit card.
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
10/02/16,SingularDTV,"$7,500,000",10/02/16,A blockchain entertainment studio empowering artists with applications to manage and create projects from development to distribution.
10/02/16,ICONOMI,"$10,481,800",08/25/16,A digital assets management platform.
10/02/16,First Blood,"$6,011,332",09/26/16,A platform that lets esports players challenge the field and win rewards. Made possible by smart contracts and oracles in the blockchain.
10/02/16,Waves,"$15,770,665",04/12/16,A smart contract platform that allows users to create and transact custom/colored coins using the native WAVES token.
10/02/16,DigixDAO,"$5,500,000",03/30/16,A DAO operating a gold-backed stable coin (DGX). The DGD token provides voting rights and transaction fee rewards within the Digix ecosystem.
10/02/16,Lisk,"$6,433,677",02/22/16,"A JavaScript-based smart contract platform that allows developers to deploy and develop their own custom blockchain, and decentralized applications."
10/02/16,Augur,"$5,253,265",08/17/15,A decentralized prediction market built on the Ethereum blockchain. It allows you to forecast events and be rewarded for predicting them correctly.
10/02/16,Ethereum,"$15,217,503",07/22/14,"A distributed computing and smart contract platform, founded by Vitalik Buterin in 2013. Through its native, Turing-complete scripting language, Solidity, it enables arbitrarily complex smart contracts on the Ethereum Virtual Machine."
